	code	representative
0	5ahz_1	1gu8_1
1	3q6m_1	3rze_1
2	1luq_1	3t2w_1
3	3t6f_1	3t2w_1
4	1srf_1	3t2w_1
5	1vwa_1	3t2w_1
6	1mk5_1	3t2w_1
7	4wog_1	1x1v_1
8	4gda_1	3t2w_1
9	1ort_1	3rze_1
10	3wle_1	3rze_1
11	2hfn_1	2hfn_1
12	1lcw_1	3t2w_1
13	4y5d_1	3t2w_1
14	4qpo_1	4qpo_1
15	2p9j_1	3rze_1
16	1b4b_1	3cag_1
17	1lu1_1	2jec_1
18	3a5v_1	1uas_1
19	3vhm_1	3t2w_1
20	5chk_1	3t2w_1
21	1ldm_1	3rze_1
22	5a6q_1	2wra_1
23	4ut5_1	2wra_1
24	1ovs_1	2wra_1
25	4wrc_1	4zrw_1
26	4wr9_1	4zrw_1
27	1gph_1	1gph_1
28	5e4a_1	1f86_2
29	5e4o_1	1f86_2
30	3cft_1	1f86_2
31	5cr1_1	1f86_2
32	4mt0_1	5azs_1
33	1hc1_1	1ll1_1
34	1sle_1	3t2w_1
35	1i9h_1	3t2w_1
36	2dgk_1	1pmm_1
37	4zwg_1	2hek_1
38	5kzu_1	5afm_1
39	4r9w_1	1plf_1
40	1qdv_1	1a68_1
41	1t1d_1	1a68_1
42	3ull_1	1eqq_1
43	5j81_1	5j81_1
44	4irw_1	3t2w_1
45	4bmw_1	2a2l_1
46	4s1o_3	2h29_1
47	4hk1_1	4yhr_1
48	5fjd_1	5fjd_1
49	5afh_1	5afm_1
50	5afm_1	5afm_1
51	3me1_1	3m6e_1
52	2par_2	2par_2
53	2paq_2	2par_2
54	4zvx_1	3rze_1
55	2fa8_1	2fa8_1
56	4g4f_1	4db5_1
57	4yvb_1	3t2w_1
58	4r6n_3	1x1v_1
59	2v18_1	2vyx_1
60	3do6_1	3do6_1
61	3e02_1	2y7d_1
62	4zdj_1	3rze_1
63	2pim_2	2pim_2
64	3lou_1	3rze_1
65	4uxh_1	3rze_1
66	4ffc_1	3dxw_1
67	3ng3_1	3rze_1
68	5ig5_1	2f86_1
69	4qya_1	1f86_2
70	1bm7_1	1f86_2
71	4ydm_1	1f86_2
72	2wqi_1	4cz5_1
73	4zlw_1	4reu_1
74	4ism_1	4reu_1
75	4zl5_1	4reu_1
76	4zkh_1	4reu_1
77	4ysn_1	3dxw_1
78	4z8x_1	3rze_1
79	2q1m_1	4db5_1
80	4p86_1	4p81_1
81	4p83_1	4p81_1
82	1key_1	4wyv_1
83	4p81_1	4p81_1
84	5ig3_1	2f86_1
85	3pib_1	3rze_1
86	3leo_2	5hv9_1
87	4zrc_1	3rze_1
88	4qhs_1	3rze_1
89	4ztt_1	4reu_1
90	5fvf_1	3rze_1
91	5hw0_1	4pga_1
92	5tc3_1	3rze_1
93	3wr7_1	3rze_1
94	4avv_1	4avv_1
95	4rhu_1	3rze_1
96	4moa_3	4moa_3
97	5iz1_1	1spi_1
98	4tl4_1	1f86_2
99	4tl5_1	1f86_2
100	4tlk_1	1f86_2
101	4tng_1	1f86_2
102	4pme_1	1f86_2
103	4tlt_1	1f86_2
104	4tm9_1	1f86_2
105	4tne_1	1f86_2
106	4tlu_1	1f86_2
107	4tls_1	1f86_2
108	4tkw_1	1f86_2
109	4tnf_1	1f86_2
110	5d3o_1	2pby_1
111	1grl_1	1kid_1
112	4wgl_1	1kid_1
113	4wsc_1	1kid_1
114	4cqj_1	3rze_1
115	5den_1	3rze_1
116	5egq_1	3rze_1
117	5fgj_1	3rze_1
118	3ra0_1	3ra0_1
119	3n1h_1	3ra0_1
120	3gfb_1	3rze_1
121	1yzw_1	3rze_1
122	4tr9_1	3rze_1
123	4z70_1	3rze_1
124	2f98_1	2f98_1
